10.35,7630,23.08 
10.40,0,22.69 
10.45,0,22.98 
10.50,0,22.69 
10.55,0,22.79 
10.60,0,22.49 
10.65,2605,22.39 
10.70,5564,22.79 
10.75,5968,22.59 
10.80,5413,22.89 
10.85,5230,22.98 
10.90,5304,22.39 
10.95,5856,23.18 
11.00,5266,22.69 
11.05,3494,22.39 
11.10,2339,22.79 
11.15,1925,22.79 
11.20,1646,22.69 
11.25,1545,22.69 
11.30,1513,22.69 
11.35,1492,22.59 
11.40,2423,22.59 
11.45,5530,22.59 
11.50,7630,22.39 
11.55,7630,22.19 
11.60,7633,23.08 
11.65,7630,22.69 
11.70,7631,22.69 
11.75,7630,22.79 
11.80,7630,22.39 
11.85,7631,22.79 
11.90,3131,22.89 
11.95,2213,22.69 
12.00,1612,22.69 
12.05,0,22.79 
12.10,0,22.59 
12.15,0,22.69 
12.20,0,22.69 
12.25,0,22.59 
12.30,0,22.89 
12.35,0,22.59 
12.40,0,22.98 
12.45,0,22.69 
12.50,0,22.98 
12.55,0,22.69 
12.60,261,22.49 
12.65,2519,22.69 
12.70,3201,22.49 
12.75,2748,22.79 
12.80,2650,23.18 
12.85,2497,22.59 
12.90,2246,22.39 
12.95,1533,22.69 
13.00,1381,22.09 
13.05,338,22.59 
13.10,0,23.08 
13.15,0,22.69 
13.20,0,22.49 
13.25,1853,22.69 
13.30,2952,22.98 
13.35,3735,22.89 
13.40,3554,22.59 
13.45,2344,22.69 
13.50,1037,22.69 
13.55,412,22.79 
13.60,1337,23.38 
13.65,1986,22.59 
13.70,2187,23.48 
13.75,1946,22.59 
13.80,1389,22.19 
13.85,751,22.69 
13.90,558,22.29 
13.95,0,22.69 
14.00,0,22.39 
14.05,0,22.89 
14.10,0,22.49 
14.15,0,22.79 
14.20,525,22.79 
14.25,336,22.49 
14.30,1567,23.18 
14.35,2522,22.79 
14.40,2183,23.48 
14.45,3460,22.89 
14.50,4070,22.59 
14.55,2979,22.69 
14.60,1454,22.59 
14.65,1097,22.19 
14.70,1235,21.60 
14.75,0,22.59 
14.80,0,22.79 
14.85,0,22.79 
14.90,0,22.79 
14.95,3144,22.89 
15.00,6885,22.19 
15.05,7410,22.79 
15.10,6238,22.39 
15.15,7512,22.49 
15.20,7629,22.69 
15.25,7630,23.08 
15.30,3723,22.89 
15.35,0,23.08 
15.40,0,22.79 
15.45,0,22.79 
15.50,1053,22.79 
15.55,2875,22.59 
15.60,3294,22.29 
15.65,2760,22.59 
15.70,2108,22.69 
15.75,1906,22.59 
15.80,2261,22.59 
15.85,2297,22.49 
15.90,4889,22.79 
15.95,7630,22.79 
16.00,7632,22.69 
16.05,6323,22.79 
16.10,0,22.89 
16.15,0,22.69 
16.20,0,22.39 
16.25,0,22.79 
16.30,0,22.59 
16.35,0,22.69 
16.40,2139,22.59 
16.45,3720,22.69 
16.50,4227,22.89 
16.55,4210,22.79 
16.60,3897,22.98 
16.65,3339,22.69 
16.70,2763,22.79 
16.75,2131,22.69 
16.80,2238,22.79 
16.85,3111,22.69 
16.90,2474,22.59 
16.95,1283,22.69 
17.00,1553,22.79 
17.05,1505,22.69 
17.10,1257,22.79 
17.15,1256,22.69 
17.20,1322,22.59 
17.25,1473,22.69 
17.30,1609,22.89 
17.35,1999,22.69 
17.40,1904,22.89 
17.45,1520,22.79 
17.50,1648,22.59 
17.55,1940,22.79 
17.60,1948,22.89 
17.65,2290,22.79 
17.70,2511,22.89 
17.75,677,22.69 
17.80,132,22.79 
17.85,519,22.69 
17.90,960,22.59 
17.95,1390,22.69 
18.00,1846,22.49 
18.05,2012,22.79 
18.10,1736,22.98 
18.15,1553,22.79 
18.20,1568,22.98 
18.25,1684,22.69 
18.30,1731,22.69 
18.35,1810,22.69 
18.40,1959,22.69 
18.45,1584,22.59 
18.50,1348,22.69 
18.55,1316,22.69 
18.60,1439,22.69 
18.65,1680,22.69 
18.70,1740,22.59 
18.75,1508,22.79 
18.80,1269,22.59 
18.85,1314,22.59 
18.90,1517,22.69 
18.95,1631,22.59 
19.00,1710,22.59 
19.05,1826,22.89 
19.10,1790,22.69 
19.15,1489,22.59 
19.20,1352,22.59 
19.25,1404,22.69 
19.30,1680,22.69 
19.35,1702,22.49 
19.40,1689,22.59 
19.45,1527,23.58 
19.50,1500,22.59 
19.55,1404,22.19 
19.60,1402,22.69 
19.65,1540,22.69 
19.70,1718,22.89 
19.75,1685,23.08 
19.80,1223,22.59 
19.85,1793,22.19 
19.90,1681,22.69 
19.95,1800,22.89 
20.00,2061,22.59 
20.05,2158,22.98 
20.10,1707,22.79 
20.15,1184,21.89 
20.20,1356,22.79 
20.25,910,22.59 
20.30,1435,22.79 
20.35,2103,22.39 
20.40,3076,22.59 
20.45,2647,22.49 
20.50,913,22.69 
20.55,555,22.98 
20.60,1135,22.59 
20.65,1793,22.39 
20.70,2105,22.39 
20.75,2666,23.38 
20.80,3221,22.89 
20.85,2459,23.38 
20.90,655,22.59 
20.95,0,22.89 
21.00,0,22.59 
21.05,119,22.29 
21.10,1794,23.28 
21.15,2050,22.69 
21.20,1148,22.59 
21.25,389,22.98 
21.30,1354,22.09 
21.35,1685,22.69 
21.40,1538,21.89 
21.45,3125,22.89 
21.50,6220,22.59 
21.55,7631,22.89 
21.60,7632,22.69 
21.65,7631,22.39 
21.70,7035,23.08 
